item_id,item_name,qty_A,qty_B,diff_A_minus_B
1214,100ACR-01214,10,12,-2
5040,100BLO-05040,0,2,-2
17159,100DUC-17159,4,0,4
17496,100ENC-17496,0,1,-1
2619,100FUS-02619,0,4,-4
3552,100FUS-03552,0,4,-4
6280,100FUS-06280,0,6,-6
3546,100ITM-03546,4,8,-4
3019,100JUM-03019,0,2,-2
3540,100JUM-03540,5,4,1
14582,100KIT-14582,0,1,-1
1653,100LIT-01653,0,1,-1
17446,100PNL-17446,0,1,-1
14530,100VFD-14530 (OBSOLETE),0,1,-1
19949,100VFD-19949,1,0,1
15088,101ENC-15088,1,0,1
14860,101PNL-14860,1,0,1
3653,102COV-03653,4,0,4
1208,102DUC-01208,0,72,-72
404,102MNT-00404,4,1,3
15290,103ADA-15290,3,6,-3
1209,103COV-01209,0,72,-72
1132,103END-01132,13,11,2
3544,103END-03544,6,9,-3
14606,112CON-14606,20,12,8
14638,201CAP-14638,54,64,-10
1108,201CLA-01108,2,0,2
2277,201CLA-02277,0,3,-3
14986,201CLA-14986,2,0,2
14639,201NUT-14639,62,70,-8
14939,201NUT-14939,0,2,-2
4330,201SCR-04330,4,0,4
6389,201SCR-06389,4,0,4
8311,201SCR-08311,0,4,-4
14632,201SCR-14632,0,10,-10
14636,201SCR-14636,16,26,-10
14913,201SCR-14913,0,6,-6
7274,201WSH-07274,6,10,-4
11470,201WSH-11470,4,8,-4
4210,202BRK-04210,1,0,1
952,202LPL-00952,0,1,-1
14637,202NUT-14637,16,26,-10
15291,203NUT-15291,3,6,-3
14640,212FRA-14640 (USE 212FRA-19882),0,6,-6
15003,212FRA-15003 (USE 212FRA-19884),0,1,-1
19882,212FRA-19882,492,0,492
19884,212FRA-19884,36,0,36
909,215MNT-00909,4,8,-4
644,301ADA-00644,1,0,1
666,301ADA-00666,0,1,-1
1554,301ADA-01554,1,0,1
2571,301ADA-02571,0,1,-1
2572,301ADA-02572,2,0,2
3189,301BSH-03189,2,3,-1
7104,301BSH-07104,2,0,2
8410,301BSH-08410,1,0,1
12203,301CPL-12203,0,1,-1
7526,301CRO-07526,1,0,1
219,301DAM-00219,0,1,-1
509,301ELB-00509,0,2,-2
2517,301ELB-02517,2,3,-1
3164,301ELB-03164,2,0,2
5302,301ELB-05302,0,1,-1
6448,301ELB-06448,1,0,1
48,301GAU-00048,2,1,1
3243,301NIP-03243,1,0,1
3260,301NIP-03260,0,1,-1
5379,301NIP-05379,1,0,1
5971,301NIP-05971,1,0,1
6985,301NIP-06985,0,2,-2
7168,301NIP-07168,0,1,-1
7414,301NIP-07414,1,0,1
11620,301NIP-11620,1,0,1
14995,301NIP-14995,0,1,-1
176,301PLG-00176,2,1,1
3471,301PLG-03471,1,0,1
1061,301TBE-01061,36,48,-12
5976,301TBE-05976,24,0,24
14815,302DAM-14815,1,0,1
51,302VAL-00051,1,0,1
1536,304PLG-01536,0,1,-1
1088,304VAL-01088,1,0,1
880,315HOS-00880,0,96,-96
916,315HOS-00916,0,36,-36
14940,315HOS-14940,0,1,-1
